GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,0,87,1,10,0,19,1,7,0,2
parking-system,com.parkit.parkingsystem.service,ParkingService,6,204,3,13,2,52,3,9,0,4
parking-system,com.parkit.parkingsystem.service,InteractiveShell,9,102,2,7,5,36,3,9,1,5
parking-system,com.parkit.parkingsystem,App,3,9,0,0,1,4,1,2,1,2
parking-system,com.parkit.parkingsystem.model,ParkingSpot,15,94,3,7,5,29,6,10,3,8
parking-system,com.parkit.parkingsystem.model,Ticket,0,55,0,0,0,23,0,15,0,15
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,21,0,0,0,4,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,0,57,1,3,0,17,1,5,0,4
parking-system,com.parkit.parkingsystem.dao,TicketDAO,20,309,3,5,0,79,3,8,0,7
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,0,107,1,3,0,29,1,5,0,4
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,0,60,2,4,0,26,2,7,0,6
